,GEO_ID,County,State,POPUNI,zero_risk,one_two_risk,three_plus_risk,Total_Population_E,Cases,Deaths,Risk_Index,Risk_Cat,0_mortality_rate,1_2_mortality_rate,3_mortality_rate,fatality_rate,Above Average,Below Average,High,Low,Very high,Very low
365,0500000US12091,Okaloosa County,FL,208789,78301,91426,39062,203794,71010.00000000003,820.9999999999997,24.81,Below Average,0.010485178988774085,0.008979940060814207,0.02101786902872356,0.011561751865934366,0,1,0,0,0,0
366,0500000US12093,Okeechobee County,FL,39467,9221,19721,10525,41144,26695.00000000006,46.0,69.63,Above Average,0.004988612948704045,0.0023325389179047716,0.004370546318289786,0.0017231691327964,1,0,0,0,0,0
367,0500000US12095,Orange County,FL,1371554,476247,619954,275353,1349746,854045.9999999993,6727.000000000001,10.55,Low,0.014125023359727202,0.01085080505973024,0.02443045835709072,0.007876624912475448,0,0,0,1,0,0
368,0500000US12097,Osceola County,FL,373936,111118,173496,89322,351955,223620.0000000001,2503.000000000001,24.53,Below Average,0.022525603412588427,0.014426845575690512,0.028022211773135408,0.011193095429746891,0,1,0,0,0,0
369,0500000US12099,Palm Beach County,FL,1484379,423142,686682,374555,1465027,1214671.9999999993,44625.0,23.14,Below Average,0.10546105090017063,0.06498641292475993,0.11914138110557862,0.03673831289434516,0,1,0,0,0,0
370,0500000US12101,Pasco County,FL,550758,180116,246719,123923,524602,174422.99999999994,2296.999999999999,64.77,Above Average,0.012752892580337112,0.009310186892780853,0.018535703622410683,0.013169134804469592,1,0,0,0,0,0
371,0500000US12103,Pinellas County,FL,968898,314014,423630,231254,964666,512338.9999999999,14813.000000000004,38.17,Below Average,0.04717305597839588,0.034966834265750785,0.06405510823596566,0.02891249738942381,0,1,0,0,0,0
372,0500000US12105,Polk County,FL,714460,205576,335651,173233,686218,349281.99999999936,8995.999999999976,78.26,Above Average,0.043759971981165,0.026801648140479178,0.05193005951521925,0.02575569310757495,1,0,0,0,0,0
373,0500000US12107,Putnam County,FL,73686,19738,32560,21388,73252,38745.00000000009,580.0,91.49,High,0.02938494275002533,0.017813267813267815,0.027118010099121,0.014969673506258838,0,0,1,0,0,0
374,0500000US12109,St. Johns County,FL,262951,103022,113729,46200,244674,92714.00000000006,882.9999999999998,15.13,Low,0.0085709848381899,0.007764070729541276,0.01911255411255411,0.009523912246262691,0,0,0,1,0,0
375,0500000US12111,St. Lucie County,FL,326689,104770,147184,74735,312947,148625.99999999994,4645.999999999997,54.07,Above Average,0.04434475517800895,0.03156593107946514,0.062166321000869704,0.0312596719281956,1,0,0,0,0,0
